2021-04-08 10:49:00.347166 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.347606 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.347864 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.348103 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.348340 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.348569 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.348798 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.349026 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.349252 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.349477 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.349700 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.349927 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.350154 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.350377 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.350602 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.350826 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.351053 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.351328 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:49:00.351555 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populating workers...
2021-04-08 10:49:00.351783 CEST | [multi_agent_per_av_part_bits_2021_04_08_10_46_06_0003] Populated
2021-04-08 10:50:10.021588 CEST | MaxReturn                  999.87
2021-04-08 10:50:10.021730 CEST | MinReturn                    0
2021-04-08 10:50:10.021865 CEST | Iteration                   36
2021-04-08 10:50:10.022000 CEST | AverageDiscountedReturn    633.846
2021-04-08 10:50:10.022140 CEST | AverageReturn              999.8
2021-04-08 10:50:10.022276 CEST | ExplainedVariance            0.997706
2021-04-08 10:50:10.022469 CEST | NumTrajs                     4
2021-04-08 10:50:10.022626 CEST | Entropy                      1.2693
2021-04-08 10:50:10.022769 CEST | Perplexity                   3.55836
2021-04-08 10:50:10.022903 CEST | StdReturn                    0.0147566
2021-04-08 10:50:10.023038 CEST | MaxReturn                  999.812
2021-04-08 10:50:10.023195 CEST | MinReturn                  999.776
2021-04-08 10:50:10.023331 CEST | Iteration                   36
2021-04-08 10:50:10.023467 CEST | AverageDiscountedReturn    626.91
2021-04-08 10:50:10.023627 CEST | AverageReturn              981.815
2021-04-08 10:50:10.023771 CEST | ExplainedVariance            0.983571
2021-04-08 10:50:10.023908 CEST | NumTrajs                     5
2021-04-08 10:50:10.024043 CEST | Entropy                      1.2693
2021-04-08 10:50:10.024183 CEST | Perplexity                   3.55836
2021-04-08 10:50:10.024320 CEST | StdReturn                   36.038
2021-04-08 10:50:10.024458 CEST | MaxReturn                  999.879
2021-04-08 10:50:10.024641 CEST | MinReturn                  909.739
2021-04-08 10:50:10.024837 CEST | Iteration                   36
2021-04-08 10:50:10.025041 CEST | AverageDiscountedReturn    633.833
2021-04-08 10:50:10.025238 CEST | AverageReturn              999.807
2021-04-08 10:50:10.025434 CEST | ExplainedVariance            0.992407
2021-04-08 10:50:10.025644 CEST | NumTrajs                     4
2021-04-08 10:50:10.025840 CEST | Entropy                      1.2693
2021-04-08 10:50:10.026014 CEST | Perplexity                   3.55836
2021-04-08 10:50:10.026184 CEST | StdReturn                    0.0490264
2021-04-08 10:50:10.026368 CEST | MaxReturn                  999.881
2021-04-08 10:50:10.026509 CEST | MinReturn                  999.743
2021-04-08 10:50:10.026663 CEST | Iteration                   36
2021-04-08 10:50:10.026876 CEST | AverageDiscountedReturn    425.822
2021-04-08 10:50:10.027053 CEST | AverageReturn              669.801
2021-04-08 10:50:10.027231 CEST | ExplainedVariance            0.886395
2021-04-08 10:50:10.027400 CEST | NumTrajs                     6
2021-04-08 10:50:10.027560 CEST | Entropy                      1.2693
2021-04-08 10:50:10.027741 CEST | Perplexity                   3.55836
2021-04-08 10:50:10.027948 CEST | StdReturn                  466.599
2021-04-08 10:50:10.028168 CEST | MaxReturn                  999.822
2021-04-08 10:50:10.028345 CEST | MinReturn                    0
2021-04-08 10:50:10.028511 CEST | Iteration                   36
2021-04-08 10:50:10.028686 CEST | AverageDiscountedReturn    633.863
2021-04-08 10:50:10.028861 CEST | AverageReturn              999.834
2021-04-08 10:50:10.029036 CEST | ExplainedVariance            0.98826
2021-04-08 10:50:10.029205 CEST | NumTrajs                     4
2021-04-08 10:50:10.029375 CEST | Entropy                      1.2693
2021-04-08 10:50:10.029558 CEST | Perplexity                   3.55836
2021-04-08 10:50:10.029729 CEST | StdReturn                    0.0452674
2021-04-08 10:50:10.029904 CEST | MaxReturn                  999.878
2021-04-08 10:50:10.030076 CEST | MinReturn                  999.764
2021-04-08 10:50:10.030252 CEST | Iteration                   36
2021-04-08 10:50:10.030413 CEST | AverageDiscountedReturn    633.819
2021-04-08 10:50:10.030580 CEST | AverageReturn              999.788
2021-04-08 10:50:10.030743 CEST | ExplainedVariance            0.999998
2021-04-08 10:50:10.030907 CEST | NumTrajs                     4
2021-04-08 10:50:10.031120 CEST | Entropy                      1.2693
2021-04-08 10:50:10.031288 CEST | Perplexity                   3.55836
2021-04-08 10:50:10.031463 CEST | StdReturn                    0.0105526
2021-04-08 10:50:10.031634 CEST | MaxReturn                  999.799
2021-04-08 10:50:10.031794 CEST | MinReturn                  999.771
2021-04-08 10:50:10.031963 CEST | Iteration                   36
2021-04-08 10:50:10.032132 CEST | AverageDiscountedReturn    633.814
2021-04-08 10:50:10.032301 CEST | AverageReturn              999.763
2021-04-08 10:50:10.032474 CEST | ExplainedVariance            0.999999
2021-04-08 10:50:10.032636 CEST | NumTrajs                     4
2021-04-08 10:50:10.032803 CEST | Entropy                      1.2693
2021-04-08 10:50:10.032973 CEST | Perplexity                   3.55836
2021-04-08 10:50:10.033145 CEST | StdReturn                    0.097971
2021-04-08 10:50:10.033314 CEST | MaxReturn                  999.873
2021-04-08 10:50:10.033494 CEST | MinReturn                  999.616
2021-04-08 10:50:10.033665 CEST | Iteration                   36
2021-04-08 10:50:10.033852 CEST | AverageDiscountedReturn    633.846
2021-04-08 10:50:10.034031 CEST | AverageReturn              999.817
2021-04-08 10:50:10.034209 CEST | ExplainedVariance            0.999999
2021-04-08 10:50:10.034383 CEST | NumTrajs                     4
2021-04-08 10:50:10.034552 CEST | Entropy                      1.2693
2021-04-08 10:50:10.034719 CEST | Perplexity                   3.55836
2021-04-08 10:50:10.034889 CEST | StdReturn                    0.0392788
2021-04-08 10:50:10.035052 CEST | MaxReturn                  999.854
2021-04-08 10:50:10.035238 CEST | MinReturn                  999.753
2021-04-08 10:50:10.035410 CEST | AveragePolicyStd             0.861018
2021-04-08 10:50:10.035580 CEST | AveragePolicyStd             0.861018
2021-04-08 10:50:10.035751 CEST | AveragePolicyStd             0.861018
2021-04-08 10:50:10.035925 CEST | AveragePolicyStd             0.861018
2021-04-08 10:50:10.036085 CEST | AveragePolicyStd             0.861018
2021-04-08 10:50:10.036253 CEST | AveragePolicyStd             0.861018
2021-04-08 10:50:10.036420 CEST | AveragePolicyStd             0.861018
2021-04-08 10:50:10.036588 CEST | AveragePolicyStd             0.861018
2021-04-08 10:50:10.036758 CEST | AveragePolicyStd             0.861018
2021-04-08 10:50:10.036927 CEST | AveragePolicyStd             0.861018
2021-04-08 10:50:10.037095 CEST | Iteration                   37
2021-04-08 10:50:10.037259 CEST | AverageDiscountedReturn    633.866
2021-04-08 10:50:10.037427 CEST | AverageReturn              999.846
2021-04-08 10:50:10.037595 CEST | ExplainedVariance            0.999999
2021-04-08 10:50:10.037764 CEST | NumTrajs                     4
2021-04-08 10:50:10.037966 CEST | Entropy                      1.27008
2021-04-08 10:50:10.038163 CEST | Perplexity                   3.56114
2021-04-08 10:50:10.038336 CEST | StdReturn                    0.0327236
2021-04-08 10:50:10.038505 CEST | MaxReturn                  999.902
2021-04-08 10:50:10.038667 CEST | MinReturn                  999.817
2021-04-08 10:50:10.038838 CEST | Iteration                   37
2021-04-08 10:50:10.038995 CEST | AverageDiscountedReturn    633.861
2021-04-08 10:50:10.039244 CEST | AverageReturn              999.843
2021-04-08 10:50:10.039408 CEST | ExplainedVariance            0.999999
2021-04-08 10:50:10.039579 CEST | NumTrajs                     4
2021-04-08 10:50:10.039749 CEST | Entropy                      1.27008
2021-04-08 10:50:10.039913 CEST | Perplexity                   3.56114
2021-04-08 10:50:10.040080 CEST | StdReturn                    0.0270694
2021-04-08 10:50:10.040244 CEST | MaxReturn                  999.872
2021-04-08 10:50:10.040417 CEST | MinReturn                  999.808
2021-04-08 10:50:10.040581 CEST | Iteration                   37
2021-04-08 10:50:10.040749 CEST | AverageDiscountedReturn    633.86
2021-04-08 10:50:10.040918 CEST | AverageReturn              999.833
2021-04-08 10:50:10.041085 CEST | ExplainedVariance            0.999999
2021-04-08 10:50:10.041258 CEST | NumTrajs                     4
2021-04-08 10:50:10.041423 CEST | Entropy                      1.27008
2021-04-08 10:50:10.041584 CEST | Perplexity                   3.56114
2021-04-08 10:50:10.041752 CEST | StdReturn                    0.0454989
2021-04-08 10:50:10.041927 CEST | MaxReturn                  999.894
2021-04-08 10:50:10.042091 CEST | MinReturn                  999.767
2021-04-08 10:50:10.042249 CEST | Iteration                   37
2021-04-08 10:50:10.042419 CEST | AverageDiscountedReturn    526.328
2021-04-08 10:50:10.042584 CEST | AverageReturn              828.169
2021-04-08 10:50:10.042747 CEST | ExplainedVariance            0.973856
2021-04-08 10:50:10.042924 CEST | NumTrajs                     6
2021-04-08 10:50:10.043097 CEST | Entropy                      1.27008
2021-04-08 10:50:10.043265 CEST | Perplexity                   3.56114
2021-04-08 10:50:10.043425 CEST | StdReturn                  370.53
2021-04-08 10:50:10.043594 CEST | MaxReturn                  999.82
2021-04-08 10:50:10.043758 CEST | MinReturn                    0
2021-04-08 10:50:10.043930 CEST | Iteration                   37
2021-04-08 10:50:10.044090 CEST | AverageDiscountedReturn    509.977
2021-04-08 10:50:10.044258 CEST | AverageReturn              797.815
2021-04-08 10:50:10.044419 CEST | ExplainedVariance            0.886574
2021-04-08 10:50:10.044589 CEST | NumTrajs                     5
2021-04-08 10:50:10.044758 CEST | Entropy                      1.27008
2021-04-08 10:50:10.044919 CEST | Perplexity                   3.56114
2021-04-08 10:50:10.045088 CEST | StdReturn                  384.247
2021-04-08 10:50:10.045258 CEST | MaxReturn                  999.81
2021-04-08 10:50:10.045424 CEST | MinReturn                   29.9457
2021-04-08 10:50:10.045609 CEST | Iteration                   37
2021-04-08 10:50:10.045821 CEST | AverageDiscountedReturn    633.808
2021-04-08 10:50:10.045981 CEST | AverageReturn              999.766
2021-04-08 10:50:10.046149 CEST | ExplainedVariance            0.9458
2021-04-08 10:50:10.046318 CEST | NumTrajs                     4
2021-04-08 10:50:10.046533 CEST | Entropy                      1.27008
2021-04-08 10:50:10.046713 CEST | Perplexity                   3.56114
2021-04-08 10:50:10.046869 CEST | StdReturn                    0.0571537
2021-04-08 10:50:10.047041 CEST | MaxReturn                  999.826
2021-04-08 10:50:10.047232 CEST | MinReturn                  999.69
2021-04-08 10:50:10.047397 CEST | Iteration                   37
2021-04-08 10:50:10.047568 CEST | AverageDiscountedReturn    633.82
2021-04-08 10:50:10.047748 CEST | AverageReturn              999.783
2021-04-08 10:50:10.047913 CEST | ExplainedVariance            0.999999
2021-04-08 10:50:10.048123 CEST | NumTrajs                     4
2021-04-08 10:50:10.048348 CEST | Entropy                      1.27008
2021-04-08 10:50:10.048534 CEST | Perplexity                   3.56114
2021-04-08 10:50:10.048705 CEST | StdReturn                    0.037364
2021-04-08 10:50:10.048878 CEST | MaxReturn                  999.824
2021-04-08 10:50:10.049044 CEST | MinReturn                  999.727
2021-04-08 10:50:10.049219 CEST | Iteration                   37
2021-04-08 10:50:10.049389 CEST | AverageDiscountedReturn    633.792
2021-04-08 10:50:10.049555 CEST | AverageReturn              999.744
2021-04-08 10:50:10.049717 CEST | ExplainedVariance            0.999999
2021-04-08 10:50:10.049891 CEST | NumTrajs                     4
2021-04-08 10:50:10.050062 CEST | Entropy                      1.27008
2021-04-08 10:50:10.050234 CEST | Perplexity                   3.56114
2021-04-08 10:50:10.050407 CEST | StdReturn                    0.133154
2021-04-08 10:50:10.050577 CEST | MaxReturn                  999.872
2021-04-08 10:50:10.050745 CEST | MinReturn                  999.522
2021-04-08 10:50:10.050915 CEST | Iteration                   37
2021-04-08 10:50:10.051117 CEST | AverageDiscountedReturn    633.845
2021-04-08 10:50:10.051277 CEST | AverageReturn              999.82
2021-04-08 10:50:10.051450 CEST | ExplainedVariance            0.999999
2021-04-08 10:50:10.051622 CEST | NumTrajs                     4
2021-04-08 10:50:10.051797 CEST | Entropy                      1.27008
2021-04-08 10:50:10.051966 CEST | Perplexity                   3.56114
2021-04-08 10:50:10.052140 CEST | StdReturn                    0.0427534
2021-04-08 10:50:10.052309 CEST | MaxReturn                  999.855
2021-04-08 10:50:10.052480 CEST | MinReturn                  999.75
2021-04-08 10:50:10.052653 CEST | Iteration                   37
2021-04-08 10:50:10.052827 CEST | AverageDiscountedReturn    633.849
2021-04-08 10:50:10.053001 CEST | AverageReturn              999.825
2021-04-08 10:50:10.053171 CEST | ExplainedVariance            0.999999
2021-04-08 10:50:10.053347 CEST | NumTrajs                     4
2021-04-08 10:50:10.053525 CEST | Entropy                      1.27008
2021-04-08 10:50:10.053696 CEST | Perplexity                   3.56114
2021-04-08 10:50:10.053862 CEST | StdReturn                    0.0195137
2021-04-08 10:50:10.054037 CEST | MaxReturn                  999.85
2021-04-08 10:50:10.054223 CEST | MinReturn                  999.805
2021-04-08 10:50:10.054392 CEST | AveragePolicyStd             0.861691
2021-04-08 10:50:10.054561 CEST | AveragePolicyStd             0.861691
2021-04-08 10:50:10.054759 CEST | AveragePolicyStd             0.861691
2021-04-08 10:50:10.054944 CEST | AveragePolicyStd             0.861691
2021-04-08 10:50:10.055126 CEST | AveragePolicyStd             0.861691
2021-04-08 10:50:10.055290 CEST | AveragePolicyStd             0.861691
2021-04-08 10:50:10.055459 CEST | AveragePolicyStd             0.861691
2021-04-08 10:50:10.055622 CEST | AveragePolicyStd             0.861691
2021-04-08 10:50:10.055824 CEST | AveragePolicyStd             0.861691
2021-04-08 10:50:10.055990 CEST | AveragePolicyStd             0.861691
2021-04-08 10:50:10.056143 CEST | Iteration                   38
2021-04-08 10:50:10.056292 CEST | AverageDiscountedReturn    579.39
2021-04-08 10:50:10.056448 CEST | AverageReturn              867.763
2021-04-08 10:50:10.056603 CEST | ExplainedVariance            0.821367
2021-04-08 10:50:10.056751 CEST | NumTrajs                     5
2021-04-08 10:50:10.056903 CEST | Entropy                      1.26903
2021-04-08 10:50:10.057046 CEST | Perplexity                   3.5574
2021-04-08 10:50:10.057200 CEST | StdReturn                  109.099
2021-04-08 10:50:10.057352 CEST | MaxReturn                  999.81
2021-04-08 10:50:10.057500 CEST | MinReturn                  749.714
2021-04-08 10:50:10.057647 CEST | Iteration                   38
2021-04-08 10:50:10.057793 CEST | AverageDiscountedReturn    616.632
2021-04-08 10:50:10.057945 CEST | AverageReturn              957.797
2021-04-08 10:50:10.058150 CEST | ExplainedVariance            0.895012
2021-04-08 10:50:10.058353 CEST | NumTrajs                     5
2021-04-08 10:50:10.058533 CEST | Entropy                      1.26903
2021-04-08 10:50:10.058694 CEST | Perplexity                   3.5574
2021-04-08 10:50:10.058858 CEST | StdReturn                   84.0471
2021-04-08 10:50:10.059024 CEST | MaxReturn                  999.864
2021-04-08 10:50:10.059218 CEST | MinReturn                  789.702
2021-04-08 10:50:10.059399 CEST | Iteration                   38
2021-04-08 10:50:10.059553 CEST | AverageDiscountedReturn    596.475
2021-04-08 10:50:10.059716 CEST | AverageReturn              917.774
2021-04-08 10:50:10.059899 CEST | ExplainedVariance            0.698823
2021-04-08 10:50:10.060089 CEST | NumTrajs                     5
2021-04-08 10:50:10.060237 CEST | Entropy                      1.26903
2021-04-08 10:50:10.060385 CEST | Perplexity                   3.5574
2021-04-08 10:50:10.060536 CEST | StdReturn                  164.068
2021-04-08 10:50:10.060681 CEST | MaxReturn                  999.874
2021-04-08 10:50:10.060827 CEST | MinReturn                  589.638
2021-04-08 10:50:10.060981 CEST | Iteration                   38
2021-04-08 10:50:10.061133 CEST | AverageDiscountedReturn    627.74
2021-04-08 10:50:10.061288 CEST | AverageReturn              983.841
2021-04-08 10:50:10.061433 CEST | ExplainedVariance            0.882692
2021-04-08 10:50:10.061581 CEST | NumTrajs                     5
2021-04-08 10:50:10.061736 CEST | Entropy                      1.26903
2021-04-08 10:50:10.061885 CEST | Perplexity                   3.5574
2021-04-08 10:50:10.062034 CEST | StdReturn                   31.9779
2021-04-08 10:50:10.062187 CEST | MaxReturn                  999.863
2021-04-08 10:50:10.062341 CEST | MinReturn                  919.886
2021-04-08 10:50:10.062496 CEST | Iteration                   38
2021-04-08 10:50:10.062649 CEST | AverageDiscountedReturn    424.226
2021-04-08 10:50:10.062796 CEST | AverageReturn              668.194
2021-04-08 10:50:10.062951 CEST | ExplainedVariance            0.904175
2021-04-08 10:50:10.063127 CEST | NumTrajs                     6
2021-04-08 10:50:10.063274 CEST | Entropy                      1.26903
2021-04-08 10:50:10.063417 CEST | Perplexity                   3.5574
2021-04-08 10:50:10.063563 CEST | StdReturn                  468.965
2021-04-08 10:50:10.063726 CEST | MaxReturn                  999.83
2021-04-08 10:50:10.063872 CEST | MinReturn                    0
2021-04-08 10:50:10.064017 CEST | Iteration                   38
2021-04-08 10:50:10.064155 CEST | AverageDiscountedReturn    601.882
2021-04-08 10:50:10.064301 CEST | AverageReturn              921.829
2021-04-08 10:50:10.064444 CEST | ExplainedVariance            0.881065
2021-04-08 10:50:10.064584 CEST | NumTrajs                     5
2021-04-08 10:50:10.064724 CEST | Entropy                      1.26903
2021-04-08 10:50:10.064862 CEST | Perplexity                   3.5574
2021-04-08 10:50:10.065003 CEST | StdReturn                  101.685
2021-04-08 10:50:10.065143 CEST | MaxReturn                  999.864
2021-04-08 10:50:10.065291 CEST | MinReturn                  749.804
2021-04-08 10:50:10.065439 CEST | Iteration                   38
2021-04-08 10:50:10.065576 CEST | AverageDiscountedReturn    512.205
2021-04-08 10:50:10.065713 CEST | AverageReturn              789.821
2021-04-08 10:50:10.065856 CEST | ExplainedVariance           -0.801337
2021-04-08 10:50:10.065995 CEST | NumTrajs                     6
2021-04-08 10:50:10.066136 CEST | Entropy                      1.26903
2021-04-08 10:50:10.066286 CEST | Perplexity                   3.5574
2021-04-08 10:50:10.066453 CEST | StdReturn                  355.654
2021-04-08 10:50:10.066614 CEST | MaxReturn                  999.812
2021-04-08 10:50:10.066773 CEST | MinReturn                   19.963
2021-04-08 10:50:10.066947 CEST | Iteration                   38
2021-04-08 10:50:10.067119 CEST | AverageDiscountedReturn    627.722
2021-04-08 10:50:10.067267 CEST | AverageReturn              983.814
2021-04-08 10:50:10.067404 CEST | ExplainedVariance            0.940808
2021-04-08 10:50:10.067543 CEST | NumTrajs                     5
2021-04-08 10:50:10.067684 CEST | Entropy                      1.26903
2021-04-08 10:50:10.067827 CEST | Perplexity                   3.5574
2021-04-08 10:50:10.067962 CEST | StdReturn                   32.038
2021-04-08 10:50:10.068098 CEST | MaxReturn                  999.864
2021-04-08 10:50:10.068275 CEST | MinReturn                  919.738
2021-04-08 10:50:10.068433 CEST | Iteration                   38
2021-04-08 10:50:10.068571 CEST | AverageDiscountedReturn    444.171
2021-04-08 10:50:10.068710 CEST | AverageReturn              689.854
2021-04-08 10:50:10.068846 CEST | ExplainedVariance            0.91374
2021-04-08 10:50:10.068988 CEST | NumTrajs                     7
2021-04-08 10:50:10.069142 CEST | Entropy                      1.26903
2021-04-08 10:50:10.069280 CEST | Perplexity                   3.5574
2021-04-08 10:50:10.069418 CEST | StdReturn                  435.28
2021-04-08 10:50:10.069553 CEST | MaxReturn                  999.822
2021-04-08 10:50:10.069694 CEST | MinReturn                    0
2021-04-08 10:50:10.069832 CEST | Iteration                   38
2021-04-08 10:50:10.069970 CEST | AverageDiscountedReturn    617.7
2021-04-08 10:50:10.070112 CEST | AverageReturn              959.805
2021-04-08 10:50:10.070289 CEST | ExplainedVariance            0.941803
2021-04-08 10:50:10.070452 CEST | NumTrajs                     5
2021-04-08 10:50:10.070609 CEST | Entropy                      1.26903
2021-04-08 10:50:10.070765 CEST | Perplexity                   3.5574
2021-04-08 10:50:10.070923 CEST | StdReturn                   75.0914
2021-04-08 10:50:10.071115 CEST | MaxReturn                  999.874
2021-04-08 10:50:10.071276 CEST | MinReturn                  809.826
2021-04-08 10:50:10.071438 CEST | AveragePolicyStd             0.860786
2021-04-08 10:50:10.071599 CEST | AveragePolicyStd             0.860786
2021-04-08 10:50:10.071759 CEST | AveragePolicyStd             0.860786
2021-04-08 10:50:10.071916 CEST | AveragePolicyStd             0.860786
2021-04-08 10:50:10.072074 CEST | AveragePolicyStd             0.860786
2021-04-08 10:50:10.072242 CEST | AveragePolicyStd             0.860786
2021-04-08 10:50:10.072420 CEST | AveragePolicyStd             0.860786
2021-04-08 10:50:10.072593 CEST | AveragePolicyStd             0.860786
2021-04-08 10:50:10.072760 CEST | AveragePolicyStd             0.860786
2021-04-08 10:50:10.072905 CEST | AveragePolicyStd             0.860786
2021-04-08 10:50:10.073043 CEST | Iteration                   39
2021-04-08 10:50:10.073184 CEST | AverageDiscountedReturn    628.515
2021-04-08 10:50:10.073322 CEST | AverageReturn              985.805
2021-04-08 10:50:10.073463 CEST | ExplainedVariance            0.976107
2021-04-08 10:50:10.073601 CEST | NumTrajs                     5
2021-04-08 10:50:10.073741 CEST | Entropy                      1.26839
2021-04-08 10:50:10.073875 CEST | Perplexity                   3.55512
2021-04-08 10:50:10.074014 CEST | StdReturn                   28.0162
2021-04-08 10:50:10.074151 CEST | MaxReturn                  999.848
2021-04-08 10:50:10.074292 CEST | MinReturn                  929.772
2021-04-08 10:50:10.074433 CEST | Iteration                   39
2021-04-08 10:50:10.074580 CEST | AverageDiscountedReturn    608.066
2021-04-08 10:50:10.074720 CEST | AverageReturn              939.797
2021-04-08 10:50:10.074861 CEST | ExplainedVariance            0.864484
2021-04-08 10:50:10.074997 CEST | NumTrajs                     5
2021-04-08 10:50:10.075164 CEST | Entropy                      1.26839
2021-04-08 10:50:10.075301 CEST | Perplexity                   3.55512
2021-04-08 10:50:10.075443 CEST | StdReturn                  120.002
2021-04-08 10:50:10.075579 CEST | MaxReturn                  999.904
2021-04-08 10:50:10.075725 CEST | MinReturn                  699.793
2021-04-08 10:50:10.075893 CEST | Iteration                   39
2021-04-08 10:50:10.076058 CEST | AverageDiscountedReturn    613.017
2021-04-08 10:50:10.076217 CEST | AverageReturn              947.839
2021-04-08 10:50:10.076380 CEST | ExplainedVariance            0.905063
2021-04-08 10:50:10.076583 CEST | NumTrajs                     5
2021-04-08 10:50:10.076752 CEST | Entropy                      1.26839
2021-04-08 10:50:10.076913 CEST | Perplexity                   3.55512
2021-04-08 10:50:10.077078 CEST | StdReturn                   77.5788
2021-04-08 10:50:10.077241 CEST | MaxReturn                  999.873
2021-04-08 10:50:10.077398 CEST | MinReturn                  799.83
2021-04-08 10:50:10.077555 CEST | Iteration                   39
2021-04-08 10:50:10.077718 CEST | AverageDiscountedReturn    582.448
2021-04-08 10:50:10.077874 CEST | AverageReturn              875.802
2021-04-08 10:50:10.078039 CEST | ExplainedVariance            0.941095
2021-04-08 10:50:10.078202 CEST | NumTrajs                     5
2021-04-08 10:50:10.078401 CEST | Entropy                      1.26839
2021-04-08 10:50:10.078578 CEST | Perplexity                   3.55512
2021-04-08 10:50:10.078740 CEST | StdReturn                  115.372
2021-04-08 10:50:10.078900 CEST | MaxReturn                  999.874
2021-04-08 10:50:10.079058 CEST | MinReturn                  719.732
2021-04-08 10:50:10.079259 CEST | Iteration                   39
2021-04-08 10:50:10.079419 CEST | AverageDiscountedReturn    508.371
2021-04-08 10:50:10.079568 CEST | AverageReturn              786.496
2021-04-08 10:50:10.079734 CEST | ExplainedVariance            0.879816
2021-04-08 10:50:10.079899 CEST | NumTrajs                     6
2021-04-08 10:50:10.080059 CEST | Entropy                      1.26839
2021-04-08 10:50:10.080224 CEST | Perplexity                   3.55512
2021-04-08 10:50:10.080381 CEST | StdReturn                  366.313
2021-04-08 10:50:10.080538 CEST | MaxReturn                  999.879
2021-04-08 10:50:10.080711 CEST | MinReturn                    0
2021-04-08 10:50:10.080863 CEST | Iteration                   39
2021-04-08 10:50:10.081028 CEST | AverageDiscountedReturn    509.088
2021-04-08 10:50:10.081185 CEST | AverageReturn              801.867
2021-04-08 10:50:10.081350 CEST | ExplainedVariance            0.936478
2021-04-08 10:50:10.081503 CEST | NumTrajs                     5
2021-04-08 10:50:10.081671 CEST | Entropy                      1.26839
2021-04-08 10:50:10.081830 CEST | Perplexity                   3.55512
2021-04-08 10:50:10.082005 CEST | StdReturn                  395.943
2021-04-08 10:50:10.082158 CEST | MaxReturn                  999.877
2021-04-08 10:50:10.082327 CEST | MinReturn                    9.98063
2021-04-08 10:50:10.082494 CEST | Iteration                   39
2021-04-08 10:50:10.082656 CEST | AverageDiscountedReturn    633.865
2021-04-08 10:50:10.082810 CEST | AverageReturn              999.833
2021-04-08 10:50:10.082976 CEST | ExplainedVariance            0.986896
2021-04-08 10:50:10.083164 CEST | NumTrajs                     4
2021-04-08 10:50:10.083332 CEST | Entropy                      1.26839
2021-04-08 10:50:10.083501 CEST | Perplexity                   3.55512
2021-04-08 10:50:10.083670 CEST | StdReturn                    0.0217739
2021-04-08 10:50:10.083837 CEST | MaxReturn                  999.859
2021-04-08 10:50:10.084002 CEST | MinReturn                  999.801
2021-04-08 10:50:10.084166 CEST | Iteration                   39
2021-04-08 10:50:10.084328 CEST | AverageDiscountedReturn    620.631
2021-04-08 10:50:10.084493 CEST | AverageReturn              965.83
2021-04-08 10:50:10.084676 CEST | ExplainedVariance            0.967798
2021-04-08 10:50:10.084840 CEST | NumTrajs                     5
2021-04-08 10:50:10.085017 CEST | Entropy                      1.26839
2021-04-08 10:50:10.085188 CEST | Perplexity                   3.55512
2021-04-08 10:50:10.085361 CEST | StdReturn                   50.441
2021-04-08 10:50:10.085532 CEST | MaxReturn                  999.891
2021-04-08 10:50:10.085704 CEST | MinReturn                  869.833
2021-04-08 10:50:10.085872 CEST | Iteration                   39
2021-04-08 10:50:10.086059 CEST | AverageDiscountedReturn    604.082
2021-04-08 10:50:10.086252 CEST | AverageReturn              925.825
2021-04-08 10:50:10.086409 CEST | ExplainedVariance            0.715054
2021-04-08 10:50:10.086575 CEST | NumTrajs                     5
2021-04-08 10:50:10.086757 CEST | Entropy                      1.26839
2021-04-08 10:50:10.086938 CEST | Perplexity                   3.55512
2021-04-08 10:50:10.087137 CEST | StdReturn                   86.6367
2021-04-08 10:50:10.087361 CEST | MaxReturn                  999.868
2021-04-08 10:50:10.087513 CEST | MinReturn                  819.804
